iter	RMSE
641	3.238104727
642	3.235447356
643	3.227683903
644	3.226503562
645	3.223878207
646	3.219413873
647	3.216489682
648	3.209251161
649	3.201078224
650	3.198513863
651	3.192378052
652	3.191241947
653	3.18827839
654	3.180655898
655	3.176003453
656	3.170211444
657	3.162664712
658	3.160307446
659	3.153199462
660	3.148766626
661	3.141885712
662	3.133391965
663	3.128101961
664	3.121309372
665	3.112403453
666	3.108652052
667	3.104515249
668	3.102829203
669	3.096225404
670	3.08953047
671	3.084159079
672	3.077550313
673	3.071906985
674	3.063863308
675	3.058566003
676	3.052891033
677	3.049524248
678	3.039786293
679	3.032860854
680	3.026383781
681	3.016691055
682	3.010017612
683	3.005018646
684	3.003424222
685	2.998781384
686	2.993360045
687	2.989904614
688	2.985087666
689	2.979665851
690	2.973813804
691	2.967681457
692	2.964823717
693	2.959827593
694	2.958751112
695	2.953314393
696	2.949314615
697	2.943296914
698	2.93666226
699	2.935037859
700	2.926907758
701	2.920600073
702	2.917035909
703	2.915445582
704	2.912799198
705	2.911136246
706	2.909355376
707	2.900899708
708	2.897914555
709	2.889745255
710	2.884818351
711	2.883038896
712	2.877328947
713	2.874716191
714	2.87045781
715	2.869140774
716	2.865045526
717	2.856493428
718	2.854292411
719	2.848657133
720	2.847296605
721	2.842499404
722	2.838113508
723	2.836960179
724	2.831581348
725	2.825796731
726	2.816715163
727	2.813526701
728	2.802465446
729	2.7958287
730	2.792629514
731	2.785368733
732	2.783569652
733	2.782315071
734	2.779732402
735	2.777742436
736	2.771258378
737	2.767906354
738	2.765240165
739	2.761193006
740	2.754453099
741	2.753012367
742	2.747462982
743	2.74043701
744	2.735097103
745	2.731336604
746	2.726288895
747	2.719588183
748	2.71501654
749	2.709431607
750	2.704288532
751	2.696661339
752	2.693720706
753	2.688416874
754	2.687012741
755	2.682945382
756	2.678758295
757	2.675144293
758	2.668859463
759	2.66234616
760	2.661020546
761	2.656550945
762	2.652954607
763	2.651385514
764	2.649264468
765	2.646315122
766	2.638075796
767	2.633449432
768	2.630245356
769	2.624977379
770	2.620817739
771	2.618512268
772	2.614646063
773	2.613481205
774	2.609955191
775	2.603826957
776	2.598530897
777	2.596193931
778	2.595221469
779	2.588990977
780	2.585252602
781	2.58157858
782	2.58051109
783	2.572015325
784	2.568649173
785	2.567374263
786	2.562872536
787	2.561718263
788	2.556287296
789	2.549640018
790	2.544373059
791	2.543352112
792	2.539513889
793	2.534332596
794	2.530940913
795	2.529505322
796	2.523688659
797	2.515957106
798	2.510393569
799	2.504367101
800	2.49822417
801	2.492711349
802	2.487522628
803	2.482181523
804	2.47699946
805	2.472145133
806	2.467918084
807	2.461866608
808	2.458342682
809	2.453356508
810	2.44899782
811	2.446557937
812	2.44274918
813	2.437935041
814	2.433721172
815	2.431051677
816	2.425406224
817	2.422211963
818	2.419979649
819	2.415909434
820	2.411010751
821	2.400474153
822	2.39650439
823	2.39553813
824	2.390044494
825	2.387571177
826	2.384588595
827	2.380465413
828	2.377970687
829	2.370489328
830	2.363239242
831	2.361193226
832	2.356242361
833	2.351692734
834	2.348951862
835	2.342780456
836	2.341516551
837	2.337086358
838	2.331164694
839	2.327267712
840	2.326357002
841	2.324185207
842	2.320477662
843	2.316864049
844	2.315891774
845	2.312531471
846	2.30728906
847	2.301470732
848	2.298022425
849	2.294452855
850	2.291549446
851	2.286898264
852	2.279848059
853	2.275754639
854	2.271791581
855	2.267995951
856	2.263384197
857	2.258384581
858	2.256003728
859	2.251802646
860	2.251028739
861	2.249023331
862	2.244509309
863	2.241483991
864	2.236943032
865	2.233610971
866	2.229120255
867	2.227503349
868	2.225137863
869	2.223681894
870	2.221328943
871	2.217839727
872	2.215408523
873	2.212968461
874	2.210019893
875	2.208771545
876	2.205157412
877	2.203265075
878	2.197984775
879	2.193296033
880	2.188684624
881	2.185600042
882	2.183832785
883	2.1822837
884	2.178977712
885	2.176074796
886	2.17366319
887	2.169838514
888	2.164508564
889	2.161340521
890	2.154959132
891	2.152735938
892	2.147583939
893	2.1459527
894	2.144324026
895	2.14177901
896	2.138648086
897	2.135507652
898	2.13066954
899	2.125967061
900	2.120718939
901	2.116442848
902	2.111265107
903	2.10740127
904	2.102086999
905	2.100475951
906	2.096220838
907	2.090819065
908	2.08505708
909	2.083409119
910	2.077915657
911	2.073329968
912	2.07080733
913	2.06636751
914	2.063530402
915	2.05821112
916	2.054048767
917	2.052598039
918	2.049819192
919	2.048121226
920	2.045852672
921	2.043793317
922	2.040862274
923	2.03759681
924	2.033069351
925	2.028027452
926	2.02139059
927	2.017456562
928	2.016418286
929	2.012492565
930	2.011663975
931	2.010775689
932	2.010024967
933	2.007270654
934	2.005295184
935	2.003770711
936	2.000239926
937	1.995385337
938	1.992755943
939	1.987452622
940	1.981659136
941	1.977623
942	1.973750992
943	1.970388582
944	1.968609725
945	1.967255214
946	1.963389314
947	1.962037893
948	1.961298727
949	1.958508185
950	1.95519965
951	1.953738468
952	1.951117798
953	1.946662961
954	1.944488949
955	1.94071426
956	1.936682124
957	1.935214757
958	1.932290585
959	1.927373987
960	1.924864389
961	1.924204137
962	1.920648412
963	1.919135934
964	1.914566919
965	1.913783913
966	1.90994304
967	1.904867077
968	1.900936106
969	1.900052934
970	1.89736279
971	1.894211499
972	1.889708363
973	1.889144106
974	1.888512169
975	1.884791027
976	1.880441669
977	1.877540724
978	1.876152296
979	1.872218022
980	1.868572959
981	1.8676915
982	1.86596334
983	1.862655701
984	1.861156662
985	1.854044987
986	1.84977951
987	1.848508524
988	1.845550194
989	1.843750728
990	1.840721713
991	1.837492839
992	1.833384527
993	1.829168342
994	1.825580421
995	1.823370478
996	1.821164967
997	1.820477839
998	1.817151648
999	1.816406389
